d,delta
7.566618020106311e-07,0.0
0.009524481645175371,0.0
0.019048206628548732,0.0
0.028571931611922095,0.0
0.03809565659529546,0.0
0.04761938157866882,0.0
0.057143106562042176,0.0
0.06666683154541553,0.0
0.0761905565287889,0.0
0.08571428151216226,0.0
0.0952380064955356,0.0
0.10476173147890898,0.0
0.11428545646228234,0.0
0.1238091814456557,0.0
0.13333290642902906,0.0
0.14285663141240246,0.0
0.1523803563957758,0.0
0.16190408137914916,0.0
0.17142780636252253,0.0
0.18095153134589587,0.0
0.1904752563292693,0.0
0.1999989813126426,0.0
0.06802113484369089,0.6812687257758671
0.06441338122929333,0.6884125108888351
0.060797595454755264,0.6954115531981728
0.057177134661563524,0.7022621252157273
0.05355549111641615,0.7089607822216616
0.04994006108678024,0.7154976225143321
0.046346134440119334,0.7218500649133418
0.04280493620268499,0.7279705592716108
0.03937980044788438,0.7337622954772504
0.03615309497768903,0.7391056470626548
0.032966884500651106,0.7442767010355776
0.02952131583695813,0.7497533953921653
0.025959756997031715,0.7552912039828792
0.022332925804838425,0.7608045826946426
0.018666124416400528,0.7662524537325022
0.014971840776660509,0.77161568496965
0.011256088733897232,0.7768859571760236
0.007521603697053131,0.7820602644756411
0.003769454674918372,0.7871381988128078
7.566618020204973e-07,0.7921194353361727
0.07156808964682827,0.6740856810487721
0.07510710079435813,0.6667573896353807
0.07863848154803554,0.6592806547222166
0.08216253322685803,0.6516522112202823
0.08567954565076896,0.6438687244068577
0.08918979751613358,0.6359267886515589
0.09269355672842028,0.6278229261866102
0.09619108066323093,0.6195535860022122
0.09968261629599937,0.6111151430364657
0.10316840008194636,0.602503898003834
0.1066486573559854,0.5937160785480304
0.1101236007976708,0.5847478431030678
0.11359342705197295,0.5755952902829115
0.1170583097060724,0.5662544795062924
0.12047030796166393,0.5568553585644518
0.1238184858649727,0.5474340749115728
0.12710466367809495,0.5379925079616629
0.1303303669828322,0.5285331466900973
0.13349662249882294,0.5190597850055265
0.13660355425093684,0.5095789061951521
0.13964958567450012,0.5001024501881328
0.14262986523736484,0.4906533500982413
0.1455331603625474,0.4812766135060787
0.148153250460206,0.4726664456980207
0.15096651089830682,0.4632623029307771
